46;Nepali keyboard;yes;;olpc;us,np;olpc2,olpc;ne_NP.UTF-8;XO 1.0 CL1A;us;;;1GB;256MB;Nepal
47;Spanish keyboard;no;;olpc;es;olpc;es_MX.UTF-8;XO 1.0 CL1A;es;;;1GB;256MB;Peru
48;Spanish keyboard;yes;;olpc;es;olpc;es_MX.UTF-8;XO 1.0 CL1A;es;;;1GB;256MB;MS Peru, MS Colombia
49;Spanish keyboard;yes;;olpc;es;olpc;es_UY.UTF-8;XO 1.0 CL1A;es;;;1GB;256MB;MS Uruguay
50;Thai keyboard;yes;;olpc;us;olpc;en_US.UTF-8?;XO 1.0 CL1;us;;;1GB;256MB;MS Thailand
51;US International keyboard;yes;;olpc;us;olpc;en_US.UTF-8;XO 1.0 CL1A;us;;;1GB;256MB;MS Rwanda
52;US International keyboard;yes;;olpc;us;olpc;en_US.UTF-8;XO 1.0 CL1A;us;;;1GB;256MB;MS South Africa
55;Spanish keyboard;no;;olpc;es;olpc;es_NI.UTF-8;XO 1.0 CL1A;es;NIC;;1GB;256MB;Nicaragua (new TP)
56;US International keyboard;yes;;olpc;us;olpc;en_US.UTF-8;XO 1.0 CL1A;us;PNG;;1GB;256MB;Oceania
57;Spanish keyboard;no;;olpc;es;olpc;es_NI.UTF-8;XO 1.0 CL1;es;NIC;;1GB;256MB;Nicaragua (old TP, not manufactured but field-updated)
58;Dari keyboard;yes;;olpc;us,af;olpc2,fa-olpc;fa_AF.UTF-8;XO 1.0 CL1A;us;AFG;;1GB;256MB;Afghanistan
59;Spanish keyboard;no;;olpc;es;olpc;es_CO.UTF-8;XO 1.0 CL1A;es;COL;;1GB;256MB;Colombia
60;US International keyboard;yes;;olpc;us;olpc;en_SZ.UTF-8;XO 1.0 CL1A;us;SWZ;;1GB;256MB;Swaziland
61;Arabic keyboard;yes;;olpc;us,ara;olpc2,olpc;ar_IQ.UTF-8;XO 1.0 CL1A;us;IRQ;;1GB;256MB;Iraq
62;US International keyboard;yes;;olpc;us;olpc;en_US.UTF-8;XO 1.0 CL1A;us;GRC;;1GB;256MB;Greece - EU Adapter
63;Azerty keyboard;yes;;olpc;fr;olpc;fr_ML.UTF-8;XO 1.0 CL1A;azerty;RMM;;1GB;256MB;Mali-EU
64;Azerty keyboard;yes;;olpc;fr;olpc;fr_BI.UTF-8;XO 1.0 CL1A;azerty;BDI;;1GB;256MB;Burundi-EU
65;Portuguese keyboard;yes;;olpc;br;olpc;pt_MZ.UTF-8;XO 1.0 CL1A;pt;MOZ;;1GB;256MB;Mozambique-EU
66;Spanish keyboard;yes;;olpc;es;olpc;es_SV.UTF-8;XO 1.0 CL1A;es;SLV;;1GB;256MB;El Salvador - US Power Adapter
67;US International keyboard;yes;;olpc;us;olpc;en_AU.UTF-8;XO 1.0 CL1A;us;AUS;;1GB;256MB;Australia - No Power Adapter
68;US International keyboard;yes;;olpc;us;olpc;en_IT.UTF-8;XO 1.0 CL1A;us;ITA;;1GB;256MB;Italy-EU Adapter
98;US International keyboard;yes;ww;olpc;us;olpc;en_US.UTF-8;XO 1.5 CL1B;us;;US wall;4 GB;1 GB;Developers, other
99;US International keyboard;yes;ww;olpc;us;olpc;en_US.UTF-8;XO 1.5 CL1B;us;;none;4 GB;1 GB;other (5-pack)
100;US International keyboard;yes;ww;olpc;us;olpc;en_US.UTF-8;XO 1.5 CL1B;us;USA;US brick;4 GB;1 GB;Developers, other
101;Spanish keyboard;no;wp;olpc;es;olpc;es_AR.UTF-8;XO 1.5 CL1B;es;ARG;AR wall;4 GB;1 GB;Argentina;http://dev.laptop.org/~reuben/arg/
102;Spanish keyboard;no;wp;olpc;es;olpc;es_MX.UTF-8;XO 1.5 CL1B;es;PER;US wall;2 GB;512 MB;Peru;http://dev.laptop.org/~reuben/per/
