BUSORO;EP BUSORO;
MUKINGO;GS GATAGARA;618
BUSASAMANA;GS NYANZA B;1559
NYARUGUNGA;NONKO PRIMARY SCHOOL;755
NIBOYE;GS KICUKIRO;3483
NYARUGUNGA;GS CAMP KANOMBE ;1862
MASAKA;GS MASAKA I;1788
KANOMBE;GS RUBIRIZI;1536
KIMISAGARA;GS KIMISAGARA;
NYARUGENGE;EP CAMP KIGALI;1611
NYAMARAMBO;PHILLIPO SMALDONE;156
NYARUGENGE;EP BIRYOGO;2236
GITEGA;EP GITEGA;1931
RUSORORO;EPAKE KIMIHURURA ;714
KINYINYA ;GS KAGUGU;4211
RUTUNGA;EP KAYANGA;1386
GATSATA;GS GIHOGWE ;1634
RUSORORO;EP RUSORORO;1431
JABANA;GS RWANYANZA;627
